WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93041||LRU||||LAS CRUCES, NM|LAS CRUCES INTL AIRPORT||32.17|-106.55|0|0|0|
93042||DHT|01|41|2240|DALHART, TX|MUNICIPAL AIRPORT||36.01|-102.33|3991|3994|3994|
93045|72271|TCS|05|29|9129|TRUTH OR CONSEQUENCES, NM|TRH OR CONSEQCES MUNI ARPT|FLIGHT SER STA/FAA*P.O. BOX 152*TRUTH OR CONSEQUENCES, NM 87901|33.14|-107.16|4820|4858|4823|
93046||HHF||||CANADIAN, TX|HEMPHILL COUNTY AIRPORT||35.54|-100.24|0|2394|0|
93057||GNT||29|3682|GRANTS, NM|GRANTS-MILAN MUNI AIRPORT||35.10|-107.54|6519|6520|6522|
93058|72464|PUB|01|05|6740|PUEBLO, CO|PUEBLO MEMORIAL AIRPORT|NAT'L WEA SER FCST OFC*31201 BRYAN CIRCLE,*MEMORIAL AIRPORT*PUEBLO  CO.81001-4891*|38.17|-104.3|4652|4720|4655|
93063||SVC||||SILVER CITY, NM|GRANT COUNTY AIRPORT||32.38|-108.1|0|0|0|
93065||AFF||||COLORADO SPRINGS, CO|USAF Academy Airstrip Airport||38.58|-104.49|0|6572|0|
93067||APA||||DENVER, CO|CENTENNIAL AIRPORT||39.34|-104.51|5824|5828|5827|
93069||CEZ||||CORTEZ, CO|CORTEZ MUNICIPAL AIRPORT||37.18|-108.38|5896|5914|5899|
93073||ASE||||ASPEN, CO|ASPEN-PITKIN COUNTY ARPT||39.13|-106.52|7722|7742|7725|
93075||CNY||||MOAB, UT|CANYONLANDS FIELD AIRPORT||38.46|-109.45|4572|4565|4575|
93076||EHA||||ELKHART, KS|ELKHART-MORTON CO AIRPORT||37.00|-101.53|0|0|0|
93083||SRR||||RUIDOSO, NM|SIERRA BLANCA RGNL AIRPORT||33.28|-105.32|0|0|0|
93084||SAD||||SAFFORD, AZ|SAFFORD REGIONAL AIRPORT||32.51|-109.38|3157|3158|3160|
93092||E33||||CHAMA, NM|NWS AWRS||36.52|-106.34|0|0|0|
93097||ALM||||ALAMOGORDO, NM|ALAMOGORDO-WHITE SANDS RGL AIR||32.50|-105.59|0|0|0|
